Node offline Start Time:  
Start Date and time: 2020-01-20 14:54:33
Node offline Start Time:  
Start Date and time: 2020-01-20 15:22:18
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-01-20 15:40:00,22959,11003,11956
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-01-20 15:40:00,22959,11003,11956
2020-01-20 15:39:00,22959,10958,12001
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-01-20 15:41:00,22959,12485,10474
2020-01-20 15:40:00,22959,11003,11956
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-01-20 15:41:00,22959,12485,10474
2020-01-20 15:40:00,22959,11003,11956
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-01-20 15:41:00,22959,12485,10474
2020-01-20 15:40:00,22959,11003,11956
Node offline End Time:  
End time: 2020-01-20 15:39:42
