NBI Call:  
Start Date and time: 2020-01-03 14:06:11

Mehtod name : Alarm Method,Total Time Taken:279ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:273ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:285ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:287ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:286ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:274ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:277ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:290ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:288ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:267ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:268ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:292ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:277ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:281ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:268ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:279ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:272ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:318ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:276ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:339ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:261ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:266ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:268ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:269ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:264ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:257ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:303ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:268ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:321ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:266ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:290ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:273ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:290ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:259ms,End Time: 2020-01-03 14:30
