Node offline Start Time:  
Start Date and time: 2020-01-20 12:26:28
Node offline End Time:  
End time: 2020-02-11 17:56:13
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
Node offline End Time:  
End time: 2020-02-11 17:56:13
Node offline Start Time:  
Start Date and time: 2020-02-11 18:00:25
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
Node offline End Time:  
End time: 2020-02-11 18:00:25
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
Node offline Start Time:  
Start Date and time: 2020-02-11 18:02:07
Node offline Start Time:  
Start Date and time: 2020-02-11 18:03:07
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
Node offline End Time:  
End time: 2020-02-11 18:03:07
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
Node offline End Time:  
End time: 2020-02-11 18:03:07
Node offline Start Time:  
